name,name_punch,name_gov,Twitter Handle,St/Dis,Party,progressive_score,state_tilt,rank,score
"Adams, Alma","Adams, Alma","Adams, Alma",RepAdams,NC12,D,96.91,Strong Dem,#372,0.22
"Aderholt, Robert","Aderholt, Robert","Aderholt, Robert",Robert_Aderholt,AL04,R,5.96,Strong Rep,#146,0.65
"Aguilar, Pete","Aguilar, Pete","Aguilar, Pete",RepPeteAguilar,CA31,D,92.43,Strong Dem,#296,0.3
"Allen, Rick","Allen, Rick","Allen, Rick",RepRickAllen,GA12,R,0.64,Strong Rep,#26,0.82
"Allred, Colin","Allred, Colin","Allred, Colin",RepColinAllred,TX32,D,95.0,Leans Dem,#217,0.44
"Amodei, Mark","Amodei, Mark","Amodei, Mark",MarkAmodeiNV2,NV02,R,5.71,Strong Rep,#171,0.59
"Armstrong, Kelly","Armstrong, Kelly","Armstrong, Kelly",RepArmstrongND,ND00,R,5.3,Strong Rep,#128,0.67
"Arrington, Jodey","Arrington , Jodey","Arrington, Jodey",RepArrington,TX19,R,1.52,Strong Rep,#94,0.71
"Auchincloss, Jake","Auchincloss, Jake",,RepAuchincloss,MA04,D,98.16,Strong Dem,,
"Axne, Cynthia","Axne, Cindy","Axne, Cynthia",RepCindyAxne,IA03,D,92.07,Swing,#200,0.51
"Babin, Brian","Babin, Brian","Babin, Brian",RepBrianBabin,TX36,R,1.08,Strong Rep,#14,0.87
"Bacon, Don","Bacon, Don","Bacon, Don",RepDonBacon,NE02,R,9.49,Leans Dem,#44,0.77
"Baird, James","Baird, Jim","Baird, James",RepJimBaird,IN04,R,3.27,Strong Rep,#66,0.74
"Balderson, Troy","Balderson, Troy","Balderson, Troy",RepBalderson,OH12,R,4.16,Leans Rep,#32,0.8
"Banks, Jim","Banks, Jim","Banks, Jim",RepJimBanks,IN03,R,1.34,Strong Rep,#13,0.88
"Barr, Andy","Barr, Andy","Barr, Garland",RepAndyBarr,KY06,R,2.97,Strong Rep,#49,0.77
"Barragán, Nanette","Barragán, Nanette","Barragan, Nanette",RepBarragan,CA44,D,98.05,Strong Dem,#403,0.17
"Bass, Karen","Bass, Karen","Bass, Karen",RepKarenBass,CA37,D,97.45,Strong Dem,#406,0.15
"Beatty, Joyce","Beatty, Joyce","Beatty, Joyce",RepBeatty,OH03,D,95.76,Strong Dem,#345,0.25
"Bentz, Cliff","Bentz, Cliff",,RepBentz,OR02,R,2.58,Strong Rep,,
"Bera, Ami","Bera, Ami","Bera, Ami",RepBera,CA07,D,89.36,Strong Dem,#242,0.38
"Bergman, Jack","Bergman, Jack","Bergman, Jack",RepJackBergman,MI01,R,5.15,Strong Rep,#121,0.67
"Beyer, Donald","Beyer, Don","Beyer, Donald",RepDonBeyer,VA08,D,96.31,Strong Dem,#350,0.25
"Bice, Stephanie","Bice, Stephanie",,RepBice,OK05,R,4.24,Leans Rep,,
"Biggs, Andy","Biggs, Andy","Biggs, Andy",RepAndyBiggsAZ,AZ05,R,5.38,Strong Rep,#33,0.8
"Bilirakis, Gus","Bilirakis, Gus","Bilirakis, Gus",RepGusBilirakis,FL12,R,5.77,Strong Rep,#35,0.79
"Bishop, Dan","Bishop, Dan","Bishop, Dan",RepDanBishop,NC09,R,2.59,Strong Rep,#139,0.66
"Bishop, Sanford","Bishop, Sanford","Bishop, Sanford",SanfordBishop,GA02,D,80.08,Strong Dem,#237,0.39
"Blumenauer, Earl","Blumenauer, Earl","Blumenauer, Earl",repblumenauer,OR03,D,94.31,Strong Dem,#427,0.1
"Blunt Rochester, Lisa","Blunt Rochester, Lisa","Blunt, Lisa",RepLBR,DE00,D,96.38,Strong Dem,#293,0.3
"Boebert, Lauren","Boebert, Lauren",,RepBoebert,CO03,R,5.42,Leans Rep,,
"Bonamici, Suzanne","Bonamici, Suzanne","Bonamici, Suzanne",RepBonamici,OR01,D,97.48,Strong Dem,#389,0.2
"Bost, Mike","Bost, Mike","Bost, Mike",RepBost,IL12,R,7.6,Strong Rep,#69,0.74
"Bourdeaux, Carolyn","Bourdeaux, Carolyn",,RepBourdeaux,GA07,D,93.92,Leans Dem,,
"Bowman, Jamaal","Bowman, Jamaal",,RepBowman,NY16,D,98.15,Strong Dem,,
"Boyle, Brendan","Boyle, Brendan","Boyle, Brendan",CongBoyle,PA02,D,95.44,Strong Dem,#294,0.3
"Brady, Kevin","Brady, Kevin","Brady, Kevin",RepKevinBrady,TX08,R,2.79,Strong Rep,#172,0.59
"Brooks, Mo","Brooks, Mo","Brooks, Mo",RepMoBrooks,AL05,R,4.63,Strong Rep,#76,0.73
"Brown, Anthony","Brown, Anthony","Brown, Anthony",RepAnthonyBrown,MD04,D,95.79,Strong Dem,#317,0.28
"Brown, Shontel","Brown, Shontel",,RepShontelBrown,OH11,D,98.37,Strong Dem,,
"Brownley, Julia","Brownley, Julia","Brownley, Julia",RepBrownley,CA26,D,91.87,Strong Dem,#336,0.26
"Buchanan, Vern","Buchanan, Vern","Buchanan, Vern",VernBuchanan,FL16,R,8.64,Strong Rep,#187,0.56
"Buck, Ken","Buck, Ken","Buck, Ken",RepKenBuck,CO04,R,4.04,Strong Rep,#112,0.69
"Bucshon, Larry","Bucshon, Larry","Bucshon, Larry",RepLarryBucshon,IN08,R,4.16,Strong Rep,#102,0.7
"Budd, Ted","Budd, Ted","Budd, Ted",RepTedBudd,NC13,R,2.14,Strong Rep,#4,0.93
"Burchett, Tim","Burchett, Tim","Burchett, Tim",RepTimBurchett,TN02,R,3.77,Strong Rep,#107,0.7
"Burgess, Michael","Burgess, Mike","Burgess, Michael",michaelcburgess,TX26,R,3.98,Strong Rep,#119,0.68
"Bush, Cori","Bush, Cori",,RepCori,MO01,D,97.78,Strong Dem,,
"Bustos, Cheri","Bustos, Cheri","Bustos, Cheri",RepCheri,IL17,D,89.08,Leans Rep,#246,0.37
"Butterfield, G.","Butterfield, G.K.","Butterfield, George",GKButterfield,NC01,D,92.59,Leans Dem,#324,0.28
"Calvert, Ken","Calvert, Ken","Calvert, Ken",KenCalvert,CA42,R,6.2,Strong Rep,#126,0.67
"Cammack, Kat","Cammack, Kat",,RepKatCammack,FL03,R,2.42,Strong Rep,,
"Carbajal, Salud","Carbajal, Salud","Carbajal, Salud",RepCarbajal,CA24,D,94.28,Strong Dem,#283,0.32
"Cárdenas, Tony","Cardenas, Tony","Cardenas, Tony",RepCardenas,CA29,D,94.62,Strong Dem,#378,0.22
"Carey, Mike","Carey, Mike",,RepMikeCarey,OH15,R,5.9,Strong Rep,,
"Carl, Jerry","Carl, Jerry",,RepJerryCarl,AL01,R,2.59,Strong Rep,,
"Carson, André","Carson, André","Carson, Andre",RepAndreCarson,IN07,D,95.25,Strong Dem,#420,0.12
"Carter, Buddy","Carter, Buddy","Carter, Earl",RepBuddyCarter,GA01,R,1.68,Strong Rep,#96,0.7
"Carter, John","Carter, John","Carter, John",JudgeCarter,TX31,R,3.95,Leans Rep,#181,0.56
"Carter, Troy","Carter, Troy",,RepTroyCarter,LA02,D,96.21,Strong Dem,,
"Cartwright, Matt","Cartwright, Matt","Cartwright, Matthew",RepCartwright,PA08,D,94.96,Leans Rep,#257,0.35
"Case, Ed","Case, Ed","Case, Ed",RepEdCase,HI01,D,84.97,Strong Dem,#280,0.33
"Casten, Sean","Casten, Sean","Casten, Sean",RepCasten,IL06,D,96.7,Strong Dem,#339,0.26
"Castor, Kathy","Castor, Kathy","Castor, Kathy",USRepKCastor,FL14,D,94.99,Strong Dem,#382,0.21
"Castro, Joaquin","Castro, Joaquin","Castro, Joaquin",JoaquinCastrotx,TX20,D,95.71,Strong Dem,#328,0.27
"Cawthorn, Madison","Cawthorn, Madison",,RepCawthorn,NC11,R,3.18,Strong Rep,,
"Chabot, Steve","Chabot, Steve","Chabot, Steve",RepSteveChabot,OH01,R,5.04,Leans Rep,#37,0.79
"Cheney, Liz","Cheney, Liz","Cheney, Liz",RepLizCheney,WY00,R,4.64,Strong Rep,#115,0.68
"Cherfilus-McCormick, Sheila","Cherfilus-McCormick, Sheila",,CongresswomanSC,FL20,D,96.9,Strong Dem,,
"Chu, Judy","Chu, Judy","Chu, Judy",RepJudyChu,CA27,D,98.29,Strong Dem,#416,0.13
"Cicilline, David","Cicilline, David","Cicilline, David",davidcicilline,RI01,D,96.57,Strong Dem,#373,0.22
"nan, nan","Cicilline, David","Cicilline, David",RepCicilline,RI01,D,96.57,Strong Dem,#373,0.22
"Clark, Katherine","Clark, Katherine","Clark, Katherine",RepKClark,MA05,D,98.8,Strong Dem,#381,0.21
"Clarke, Yvette","Clarke, Yvette1","Clarke, Yvette",RepYvetteClarke,NY09,D,98.33,Strong Dem,#421,0.12
"Cleaver, Emanuel","Cleaver, Emanuel","Cleaver, Emanuel",repcleaver,MO05,D,94.74,Strong Dem,#349,0.25
"Cline, Ben","Cline, Ben","Cline, Ben",RepBenCline,VA06,R,2.28,Strong Rep,#84,0.72
"Cloud, Michael","Cloud, Michael","Cloud, Michael",RepCloudTX,TX27,R,3.05,Strong Rep,#113,0.69
"Clyburn, James","Clyburn, Jim","Clyburn, James",WhipClyburn,SC06,D,91.44,Strong Dem,#318,0.28
"Clyde, Andrew","Clyde, Andrew",,Rep_Clyde,GA09,R,0.93,Strong Rep,,
"Cohen, Steve","Cohen, Steve","Cohen, Steve",RepCohen,TN09,D,96.27,Strong Dem,#405,0.16
"Cole, Tom","Cole, Tom","Cole, Tom",TomColeOK04,OK04,R,7.49,Strong Rep,#43,0.78
"Comer, James","Comer, James","Comer, James",RepJamesComer,KY01,R,2.74,Strong Rep,#92,0.71
"Conway, Connie","Conway, Connie",,RepConnieConway,CA22,R,6.98,Leans Rep,,
"Connolly, Gerald","Connolly, Gerry","Connolly, Gerald",GerryConnolly,VA11,D,92.05,Strong Dem,#314,0.29
"Cooper, Jim","Cooper, Jim","Cooper, Jim",repjimcooper,TN05,D,80.49,Strong Dem,#292,0.3
"Correa, Lou","Correa, Lou","Correa, Luis",RepLouCorrea,CA46,D,92.46,Strong Dem,#268,0.34
"Costa, Jim","Costa, Jim","Costa, Jim",RepJimCosta,CA16,D,75.8,Strong Dem,#226,0.42
"Courtney, Joe","Courtney, Joe","Courtney, Joe",RepJoeCourtney,CT02,D,93.41,Leans Dem,#256,0.35
"Craig, Angie","Craig, Angie","Craig, Angie",RepAngieCraig,MN02,D,91.46,Leans Dem,#229,0.42
"Crawford, Ric","Crawford, Rick","Crawford, Eric",RepRickCrawford,AR01,R,3.76,Strong Rep,#31,0.8
"Crenshaw, Dan","Crenshaw, Dan","Crenshaw, Dan",RepDanCrenshaw,TX02,R,5.81,Leans Rep,#41,0.78
"Crist, Charlie",,,RepCharlieCrist,FL13,D,,,,
"Crow, Jason","Crow, Jason","Crow, Jason",RepJasonCrow,CO06,D,94.89,Strong Dem,#251,0.36
"Cuellar, Henry","Cuellar, Henry","Cuellar, Henry",RepCuellar,TX28,D,75.57,Swing,#178,0.57
"Curtis, John","Curtis, John","Curtis, John",RepJohnCurtis,UT03,R,3.22,Strong Rep,#116,0.68
"Davids, Sharice","Davids, Sharice","Davids, Sharice",RepDavids,KS03,D,94.72,Leans Dem,#262,0.35
"Davidson, Warren","Davidson, Warren","Davidson, Warren",WarrenDavidson,OH08,R,4.3,Strong Rep,#134,0.66
"Davis, Danny","Davis, Danny","Davis, Danny",RepDannyDavis,IL07,D,96.19,Strong Dem,#393,0.19
"Davis, Rodney","Davis, Rodney","Davis, Rodney",RodneyDavis,IL13,R,10.27,Leans Rep,#90,0.72
"Dean, Madeleine","Dean, Madeleine","Dean, Madeleine",RepDean,PA04,D,98.16,Strong Dem,#340,0.26
"DeFazio, Peter","DeFazio, Peter","Defazio, Peter",RepPeterDeFazio,OR04,D,90.97,Swing,#329,0.27
"DeGette, Diana","DeGette, Diana","Degette, Diana",RepDianaDeGette,CO01,D,95.12,Strong Dem,#355,0.24
"DeLauro, Rosa","DeLauro, Rosa","Delauro, Rosa",rosadelauro,CT03,D,93.68,Strong Dem,#366,0.23
"DelBene, Suzan","DelBene, Suzan","Delbene, Suzan",RepDelBene,WA01,D,93.82,Strong Dem,#306,0.29
"Demings, Val","Butler Demings, Val",,RepValDemings,FL10,D,95.04,Strong Dem,,
"DeSaulnier, Mark","DeSaulnier, Mark","Desaulnier, Mark",RepDeSaulnier,CA11,D,98.97,Strong Dem,#413,0.14
"DesJarlais, Scott","DesJarlais, Scott","Desjarlais, Scott",DesJarlaisTN04,TN04,R,2.66,Strong Rep,#81,0.73
"Deutch, Theodore",,,RepTedDeutch,FL22,D,,,,
"Diaz-Balart, Mario","Diaz-Balart, Mario",,MarioDB,FL25,R,11.39,Strong Rep,,
"Dingell, Debbie","Dingell, Debbie","Dingell, Debbie",RepDebDingell,MI12,D,97.05,Strong Dem,#351,0.25
"Doggett, Lloyd","Doggett, Lloyd","Doggett, Lloyd",RepLloydDoggett,TX35,D,92.92,Strong Dem,#316,0.29
"Donalds, Byron","Donalds, Byron",,RepDonaldsPress,FL19,R,1.51,Strong Rep,,
"Doyle, Michael","Doyle, Mike","Doyle, Michael",USRepMikeDoyle,PA18,D,87.52,Strong Dem,#320,0.28
"Duncan, Jeff","Duncan, Jeff","Duncan, Jeff",RepJeffDuncan,SC03,R,2.87,Strong Rep,#22,0.84
"Dunn, Neal","Dunn, Neal","Dunn, Neal",DrNealDunnFL2,FL02,R,2.53,Strong Rep,#77,0.73
"Ellzey, Jake","Ellzey, Jake",,RepEllzey,TX06,R,2.25,Leans Rep,,
"Emmer, Tom","Emmer, Tom","Emmer, Tom",RepTomEmmer,MN06,R,5.07,Strong Rep,#50,0.77
"Escobar, Veronica","Escobar, Veronica","Escobar, Veronica",RepEscobar,TX16,D,98.4,Strong Dem,#356,0.24
"Eshoo, Anna","Eshoo, Anna","Eshoo, Anna",RepAnnaEshoo,CA18,D,93.14,Strong Dem,#360,0.24
"Espaillat, Adriano","Espaillat, Adriano","Espaillat, Adriano",RepEspaillat,NY13,D,99.01,Strong Dem,#426,0.1
"Estes, Ron","Estes, Ron","Estes, Ron",RepRonEstes,KS04,R,1.05,Strong Rep,#131,0.66
"Evans, Dwight","Evans, Dwight","Evans, Dwight",RepDwightEvans,PA03,D,97.83,Strong Dem,#375,0.22
"Fallon, Pat","Fallon, Pat",,RepPatFallon,TX04,R,0.93,Strong Rep,,
"Feenstra, Randy","Feenstra, Randy",,RepFeenstra,IA04,R,3.14,Strong Rep,,
"Ferguson, Drew","Ferguson, Drew","Ferguson, Drew",RepDrewFerguson,GA03,R,1.59,Strong Rep,#120,0.68
"Finstad, Brad","Finstad, Brad",,repfinstad,MN01,R,5.56,Strong Rep,,
"Fischbach, Michelle","Fischbach, Michelle",,RepFischbach,MN07,R,1.84,Strong Rep,,
"Fitzgerald, Scott","Fitzgerald, Scott",,RepFitzgerald,WI05,R,0.93,Strong Rep,,
"Fitzpatrick, Brian","Fitzpatrick, Brian","Fitzpatrick, Brian",RepBrianFitz,PA01,R,33.42,Leans Dem,#149,0.64
"Fleischmann, Chuck","Fleischmann, Chuck","Fleischmann, Charles",RepChuck,TN03,R,3.26,Strong Rep,#138,0.66
"Fletcher, Lizzie","Fletcher , Lizzie","Fletcher, Lizzie",RepFletcher,TX07,D,93.38,Leans Dem,#233,0.4
"Flood, Mike",,,USRepMikeFlood,NE01,,,,,
"Flores, Mayra",,,repmayraflores,TX34,,,,,
"Foster, Bill","Foster, Bill","Foster, Bill",RepBillFoster,IL11,D,90.96,Strong Dem,#288,0.31
"Foxx, Virginia","Foxx, Virginia","Foxx, Virginia",virginiafoxx,NC05,R,2.53,Strong Rep,#189,0.55
"Frankel, Lois","Frankel, Lois","Frankel, Lois",RepLoisFrankel,FL21,D,95.71,Strong Dem,#286,0.31
"Franklin, Scott","Franklin, Scott",,RepFranklin,FL15,R,0.74,Strong Rep,,
"Fulcher, Russ","Fulcher, Russ","Fulcher, Russ",RepRussFulcher,ID01,R,1.64,Strong Rep,#145,0.65
"Gaetz, Matt","Gaetz, Matt","Gaetz, Matt",RepMattGaetz,FL01,R,8.13,Strong Rep,#11,0.9
"Gallagher, Mike","Gallagher, Mike","Gallagher, Mike",RepGallagher,WI08,R,6.03,Strong Rep,#52,0.76
"Gallego, Ruben","Gallego, Ruben","Gallego, Ruben",RepRubenGallego,AZ07,D,96.95,Strong Dem,#300,0.3
"Garamendi, John","Garamendi, John","Garamendi, John",RepGaramendi,CA03,D,93.06,Strong Dem,#276,0.33
"Garbarino, Andrew","Garbarino, Andrew",,RepGarbarino,NY02,R,13.27,Leans Rep,,
"Garcia, Mike","Garcia, Mike","Garcia, Mike",RepMikeGarcia,CA25,R,8.67,Leans Dem,#218,0.44
"Garcia, Sylvia","Garcia, Sylvia","Garcia, Sylvia",RepSylviaGarcia,TX29,D,97.57,Strong Dem,#386,0.2
"García, Chuy","Garcia, Jesús","Garcia, Jesus",RepChuyGarcia,IL04,D,99.08,Strong Dem,#434,0.05
"Gibbs, Bob","Gibbs, Bob","Gibbs, Bob",RepBobGibbs,OH07,R,2.72,Strong Rep,#17,0.85
"Gimenez, Carlos","Giménez, Carlos",,RepCarlos,FL26,R,11.05,Leans Rep,,
"Gohmert, Louie","Gohmert, Louie","Gohmert, Louie",replouiegohmert,TX01,R,4.97,Strong Rep,#63,0.75
"Golden, Jared","Golden, Jared","Golden, Jared",RepGolden,ME02,D,84.6,Strong Rep,#211,0.46
"Gomez, Jimmy","Gomez, Jimmy","Gomez, Jimmy",RepJimmyGomez,CA34,D,98.8,Strong Dem,#370,0.22
"Gonzales, Tony","Gonzales, Tony",,RepTonyGonzales,TX23,R,8.86,Leans Rep,,
"Gonzalez, Anthony","Gonzalez, Anthony","Gonzalez, Anthony",RepAGonzalez,OH16,R,16.91,Strong Rep,#124,0.67
"Gonzalez, Vicente","González, Vicente","Gonzalez, Vicente",RepGonzalez,TX15,D,90.38,Swing,#208,0.47
"González-Colón, Jenniffer",,,RepJenniffer,PR00,R,,,,
"Good, Bob","Good, Bob",,RepBobGood,VA05,R,3.68,Strong Rep,,
"Gooden, Lance","Gooden, Lance","Gooden, Lance",No official,TX05,R,2.12,Strong Rep,#36,0.79
"Gosar, Paul","Gosar, Paul","Gosar, Paul",RepGosar,AZ04,R,4.65,Strong Rep,#6,0.92
"Gottheimer, Josh","Gottheimer, Josh","Gottheimer, Josh",RepJoshG,NJ05,D,84.62,Swing,#150,0.64
"Granger, Kay","Granger, Kay","Granger, Kay",RepKayGranger,TX12,R,5.0,Strong Rep,#185,0.56
"Graves, Garret","Graves, Garret","Graves, Garret",RepGarretGraves,LA06,R,4.59,Strong Rep,#167,0.61
"Graves, Sam","Graves, Sam","Graves, Sam",RepSamGraves,MO06,R,3.81,Strong Rep,#173,0.59
"Green, Al","Green, Al","Green, Al",RepAlGreen,TX09,D,93.16,Strong Dem,#371,0.22
"Green, Mark","Green, Mark","Green, Mark",RepMarkGreen,TN07,R,1.59,Strong Rep,#65,0.74
"Greene, Marjorie","Greene, Marjorie",,RepMTG,GA14,R,4.87,Strong Rep,,
"Griffith, Morgan","Griffith, Morgan","Griffith, Morgan",RepMGriffith,VA09,R,7.3,Strong Rep,#155,0.63
"Grijalva, Raúl","Grijalva, Raul","Grijalva, Raul",RepRaulGrijalva,AZ03,D,98.06,Strong Dem,#422,0.11
"Grothman, Glenn","Grothman, Glenn","Grothman, Glenn",RepGrothman,WI06,R,3.17,Strong Rep,#28,0.82
"Guest, Michael","Guest, Michael","Guest, Michael",RepMichaelGuest,MS03,R,2.78,Strong Rep,#72,0.74
"Guthrie, Brett","Guthrie, Brett","Guthrie, Brett",RepGuthrie,KY02,R,4.06,Strong Rep,#123,0.67
"Hagedorn, Jim","Finstad, Brad",,RepHagedorn,MN01,R,5.56,Strong Rep,,
"Harder, Josh","Harder, Josh","Harder, Josh",RepJoshHarder,CA10,D,94.3,Swing,#210,0.46
"Harris, Andy","Harris, Andy","Harris, Andy",RepAndyHarrisMD,MD01,R,4.11,Strong Rep,#47,0.77
"Harshbarger, Diana","Harshbarger, Diana",,RepHarshbarger,TN01,R,0.55,Strong Rep,,
"Hartzler, Vicky","Hartzler, Vicky","Hartzler, Vicky",RepHartzler,MO04,R,3.11,Strong Rep,#3,0.93
"Hayes, Jahana","Hayes, Jahana","Hayes, Jahana",RepJahanaHayes,CT05,D,97.8,Leans Dem,#423,0.1
"Hern, Kevin","Hern, Kevin","Hern, Kevin",repkevinhern,OK01,R,1.17,Strong Rep,#29,0.8
"Herrell, Yvette","Herrell, Yvette",,RepHerrell,NM02,R,2.29,Strong Rep,,
"Herrera Beutler, Jaime","Herrera Beutler, Jaime","Herrera, Jaime",HerreraBeutler,WA03,R,10.13,Leans Rep,#183,0.56
"Hice, Jody","Hice, Jody","Hice, Jody",CongressmanHice,GA10,R,2.03,Strong Rep,#12,0.88
"Higgins, Brian","Higgins, Brian","Higgins, Brian",RepBrianHiggins,NY26,D,93.37,Strong Dem,#299,0.3
